country;year2018;year2019;year2020;year2021
Liberia;1,337986403;1,362094461;1,345091088;1,443499541
Libya;59,13995157;59,27247661;48,89253566;63,27811872
Lithuania;13,76756351;14,02912901;13,55712973;13,82483539
Luxembourg;9,533098635;9,702100202;8,157913257;8,446430798
Macao;2,428829804;2,575890687;2,59949078;2,657829109
Madagascar;4,541122598;5,35985018;4,955637712;5,299768977
Malawi;1,852028238;1,873632312;1,708385272;1,818903274
Malaysia;257,8039042;266,2147447;256,1914887;251,5552154
Maldives;1,834918735;2,116841045;2,127704546;2,206366509
Mali;5,017227375;5,591457612;5,520969885;5,921716039
Malta;1,613083851;1,718574941;1,623964846;1,745432648
Martinique;2,078388467;2,066318912;1,715516273;1,904399538
Mauritania;3,778912653;4,013490826;3,96228903;4,256858833
Mauritius;4,158548878;4,213802988;3,857930723;4,12793065
Mexico;484,649408;481,4642266;401,125707;418,3479391
Moldova;8,700766038;9,057144607;8,936052516;9,549683576
Mongolia;21,96046977;23,56272654;24,53400933;24,98524241
Morocco;66,40423349;72,41635248;67,42611802;73,96805538
Mozambique;8,144190727;8,696688436;8,031778844;8,644338953
Myanmar/Burma;34,83839589;39,00140501;39,7024533;40,05064036
Namibia;4,23989592;4,247685826;3,948242145;4,065384801
Nepal;15,22397438;13,61858362;13,92656758;14,31374519
Netherlands;163,892315;158,8039234;143,1102603;146,8681349
New Caledonia;5,175524086;5,40865466;5,55755708;5,699091806
New Zealand;36,19921531;38,10400212;33,29587976;32,60333814
Nicaragua;5,157583263;5,25833946;4,470050877;5,002434496
Niger;2,014489817;2,287489673;2,26123293;2,469814991
Nigeria;114,4796489;120,2646329;120,3379024;127,0292518
North Korea;52,75720712;58,52842615;61,08401702;62,57359975
North Macedonia;7,557534518;8,624733627;7,159761984;7,507747257
Norway;45,58695555;43,35350833;41,67015419;42,32921125
Oman;85,54303476;86,46389838;85,63465896;94,61967335
Pakistan;198,1390786;201,01429;202,0471744;219,7924461
Palau;1,230380239;1,268168703;1,276227161;1,323699598
Panama;9,949514829;13,15477512;11,14646462;12,51089334
Papua New Guinea;6,057864158;6,297710119;6,38704032;6,570530106
Paraguay;8,953278295;8,729137348;8,265938198;8,891134056
Peru;55,14090807;57,58291255;46,58711465;55,14439017
Philippines;143,2180666;150,6745525;138,6957904;147,9556226
Poland;329,9422985;311,9671168;295,9313406;320,7681893
Portugal;51,84628531;47,03651774;39,57868609;38,67690709
Puerto Rico;1,248341514;1,243889621;1,205260996;1,260950276
Qatar;99,85257346;105,354177;94,7284364;97,69387446
Réunion;2,803115631;2,821300327;2,415385578;2,579326973
Romania;82,10055477;80,47073978;73,08112847;78,74669937
Russia;1811,939536;1881,71206;1797,595272;1942,535227
Rwanda;1,193492913;1,301743612;1,166929693;1,235757002
São Tomé and Príncipe;0,141767663;0,156722905;0,142898922;0,153461718
Saint Helena, Ascension and Tristan da Cunha;0,017194073;0,016909453;0,015572638;0,016101619
Saint Kitts and Nevis;0,315279464;0,311341777;0,257265181;0,286364144
Saint Lucia;0,541671505;0,776026956;0,640596363;0,713276767
Saint Pierre and Miquelon;0,122558395;0,104780792;0,091564481;0,092771651
Saint Vincent and the Grenadines;0,29488514;0,253025609;0,209292748;0,232840745
Samoa;0,309436828;0,345617831;0,347397518;0,360229572
Saudi Arabia;573,7300475;577,4434397;574,915952;586,3982445
Senegal;10,37853837;11,36039248;11,14469521;11,9808239
Serbia and Montenegro;57,68895059;57,89869382;57,71886633;39,34964635
Seychelles;0,974808258;0,991415362;1,007665398;1,046391503
Sierra Leone;1,012152273;0,954422461;0,943897091;1,008872059
Singapore;56,72259551;56,83510113;55,79752004;58,18146555
Slovakia;37,05195005;34,82371629;33,11281653;37,48180992
Slovenia;16,10798932;15,61284969;14,373391;14,17066724
Solomon Islands;0,312408294;0,315865945;0,317458026;0,328915059
Somalia;0,804157843;0,813939991;0,717193667;0,763629187
South Africa;467,1842608;470,5221164;427,8159475;435,5228117
South Korea;674,1068566;650,3615363;605,449172;626,8000309
Spain and Andorra;274,3736117;256,8053837;212,4672749;231,9142275
Sri Lanka;22,99984065;25,51065563;24,5365984;23,86251312
Sudan and South Sudan;22,92480458;22,71346894;20,13441987;21,36578888
Suriname;2,212179419;2,655425727;2,499294933;2,706967359
Sweden;42,96726967;42,2132384;38,968336;38,92176751
Switzerland and Liechtenstein;38,6984685;38,57612605;34,22690466;35,07257301
Syria;28,29677488;26,70610441;24,85087964;25,86050622
Taiwan;288,0780086;278,1191572;268,8839025;288,157043
Tajikistan;8,826945784;9,685030576;9,210067932;10,12597045
Tanzania;12,34428181;13,47926861;12,50656904;13,40768066
Thailand;270,4188175;281,4354795;265,8495687;269,5667145
The Gambia;0,507520167;0,524632875;0,516930044;0,557662085
Timor-Leste;0,606254933;0,570230032;0,560876284;0,566563894
Togo;2,034478298;2,118680539;2,121302812;2,256159345
Tonga;0,135732112;0,162135544;0,162973518;0,169000649
Trinidad and Tobago;31,59330227;32,57943919;29,05705407;28,99454855
